GOAL	SUB	Energy	Pan	Dot	details
Self	sleep	Low	8.5	7.5	incl sleepless
Self	Eat	Low	2	3	shop, prep, eat, clean
Self	Care	High	0.75	.5	meditate, run
Self	groom	Low	0.75	.75	shit, shower, shave, hair, dress
Self	home	Ave	0.75	.5	clean, fix
Self	health	Ave	0.5	1	therapy, doc, dental, vision
Ppl	Work	Ave	2.75	3	adjusted from 5 days/week
Ppl	Work	High	1.5	.5	Apply for a raise
Ppl	Ppl	Ave	2	2.25	text, social media, hang out
Value	Hobby	High	3	2	Make tool, learn skill
Value	Hobby	Low	1.5	3	Watch show, nap, surf web
