ch_name,ch_i,h_i,l_i,i,l_id,word,fn,x,id,group
self,1,1,1,1.1.1,1,Imagine your life takes place in a garden.,example,imagine,1,garden
self,1,1,2,1.1.2,2,Visualizing your life as a garden allows you to ground actions and plans.,def,NA,1,garden
self,1,1,3,1.1.3,3,The mind analyzes well with visual space.,def,NA,1,garden
self,1,1,4,1.1.4,4,"In this garden we'll consider all your biological needs -- eating, sleeping especially -- as literal.",def,NA,1,garden
self,1,1,5,1.1.5,5,"Your plants are goals, and gardening is your plan.",def,NA,1,garden
self,1,1,6,1.1.6,6,Food and cake exists in the form of fruit from plants.,def,NA,1,garden
self,1,1,7,1.1.7,7,Whatever it takes to obtain your cake you can consider as an act of gardening.,def,NA,1,garden
self,1,1,8,1.1.8,8,"Every one of your life ambitions, goals, is buried in the ground as seeds.",def,is,1,garden
self,1,1,9,1.1.9,9,"Finding a life partner, acquiring a car or promotion, or resolving a conflict with your childhood friend are all matters spread across the dirt in need of water, sunlight, and--most important--your time.",def,NA,1,garden
self,1,1,10,1.1.10,10,"Other goals, like your favorite hobbies, or tv shows, take little work and grow almost anywhere.",def,NA,1,garden
self,1,1,11,1.1.11,11,"Whether they are dear to you or weeds, if they take your time, they are plants in your garden.",def,NA,1,garden
self,1,1,12,1.1.12,12,Except that they start as seeds.,def,NA,1,garden
self,1,1,13,1.1.13,13,"And what do you do with seeds to make plants? You garden, dear human, you garden.",def,NA,1,garden
self,1,1,14,1.1.14,14,All actions toward a plant are according to plan.,def,NA,1,garden
self,1,1,15,1.1.15,15,All actions toward your self are to be considered literal in the garden metaphor.,def,NA,1,garden
self,1,1,16,1.1.16,16,"For example, if you need to eat, or go to the bathroom, you physically go to the place and literally do the deed.",example,NA,1,garden
self,1,1,17,1.1.17,17,"(There will be no pooping on plants, or a pooping plant in this garden.)",def,NA,1,garden
self,1,1,18,1.1.18,18,"Thus, in the garden you are still a normal human bound to a normal space and time, capable of: acting according to bodily need, moving about space, and gardening.",def,NA,1,garden
self,1,2,19,1.2.19,19,"Today, you are looking out across the entire garden.",def,NA,2,today
self,1,2,20,1.2.20,20,What has already been planted? What will you add and how much time will you devote to those goals?,plan,q,2,today
self,1,2,21,1.2.21,21,"Every seed you plant -- even an abstract one like passing a course or making a friend-- implies things in and out of your control like work and weather, or beyond your awareness, like what your boss loses sleep over.",def,NA,2,today
self,1,2,22,1.2.22,22,Meditate on the final products of your garden.,plan,NA,2,today
self,1,2,23,1.2.23,23,Is there a more important plant that deserves your time today?,plan,NA,2,today
self,1,2,24,1.2.24,24,Meditate on the priorities of your work. do two plants grow better when together?,plan,NA,2,today
self,1,2,25,1.2.25,25,"Make a quick and accurate assessment, but don't sit here all morning thinking about it.",plan,NA,2,today
self,1,2,26,1.2.26,26,"A garden is for working in, to get the food and cake you need.",def,is,2,today
self,1,2,27,1.2.27,27,"What do you need to cultivate, today?",plan,NA,2,today
self,1,2,28,1.2.28,28,What do you want to cultivate in this life?,plan,NA,2,today
self,1,2,29,1.2.29,29,"First, you want what your body and mind best respond to. many of these seeds will be obvious.",plan,NA,2,today
self,1,2,30,1.2.30,30,It is up to you how curious you are for what better life is possible.,def,NA,2,today
self,1,2,31,1.2.31,31,"The day is too short to try everything, and many things are not worth trying.",def,NA,2,today
self,1,2,32,1.2.32,32,"There is not always harm to planting something that does not grow, but sometimes there is.",def,is,2,today
self,1,2,33,1.2.33,33,"You could run out of space, time, or energy that could have been devoted to better crops;",example,could,2,today
self,1,2,34,1.2.34,34,"You might get a weak yield for trying to grow something not suitable in your climate, or",example,might,2,today
self,1,2,35,1.2.35,35,Find you have no taste or stomach for the fruit.,example,NA,2,today
self,1,2,36,1.2.36,36,"In the garden, the costs of goals are grounded in their most basic sense: time and attention.",def,NA,2,today
self,1,3,37,1.3.37,37,The following are core concepts for application beyond the garden.,def,NA,3,goal
