ch_name,h_name,p_i,ch_i,h2_i,group
,,0,0,0,pit
,,0,1,0,fit
,,0,2,0,wit
,,1,3,0,self
,,1,4,0,priorities
,,1,5,0,ppl
,,1,6,0,bet
,,2,7,0,ed
,,2,8,0,word
,,2,9,0,rev
,,2,10,0,comm
self,garden,1,1,1,garden
self,garden,1,2,2,today
self,garden,1,3,3,goal
self,garden,1,4,4,plan
self,garden,1,5,5,self
self,garden,1,6,6,home
priorities,garden,2,1,7,calling
priorities,garden,2,2,8,cakes
priorities,garden,2,3,9,death
priorities,garden,2,4,10,sick
priorities,garden,2,5,11,attention
priorities,garden,2,6,12,now
ppl,places,3,1,13,places
ppl,gate,3,2,14,gate
ppl,work,3,3,15,work
ppl,analysis,3,4,16,analysis
ppl,others,3,5,17,others
bet,stranger,4,1,18,stranger
bet,bet,4,2,19,bet
bet,after,4,3,20,after
bet,c.h.u.d.,4,4,21,c.h.u.d.
bet,cost,4,5,22,cost
bet,habit,4,6,23,habit
bet,unknown,4,7,24,unknown
bet,doubt,4,8,25,doubt
ed,the classroom,5,1,26,the classroom
ed,prompt,5,2,27,prompt
ed,admissions,5,3,28,admissions
ed,challenge,5,4,29,challenge
ed,student,5,5,30,student
ed,consent,5,6,31,consent
ed,course,5,7,32,course
ed,think,5,8,33,think
ed,read,5,9,34,read
ed,truth,5,10,35,truth
ed,lesson,5,11,36,lesson
ed,say,5,12,37,say
ed,write,5,13,38,write
ed,instructor,5,14,39,instructor
ed,answers,5,15,40,answers
word,cognition,6,1,41,cognition
word,problem,6,2,42,problem
word,bet,6,3,43,bet
word,simulation,6,4,44,simulation
word,"""it""",6,5,45,"""it"""
word,write-plan,6,6,46,write-plan
word,read-plan,6,7,47,read-plan
word,types,6,8,48,types
word,example,6,9,49,example
word,hype,6,10,50,hype
word,alternatives,6,11,51,alternatives
word,letters,6,12,52,letters
word,notes,6,13,53,notes
word,transparent,6,14,54,transparent
word,recipe,6,15,55,recipe
word,document,6,16,56,document
word,scientist,6,17,57,scientist
word,framework,6,18,58,framework
word,theory,6,19,59,theory
rev,revision,7,1,60,revision
rev,plan,7,2,61,plan
rev,think!,7,3,62,think!
rev,plan,7,4,63,plan
rev,prompts,7,5,64,prompts
rev,wordlimit,7,6,65,word limit
rev,timelimit,7,7,66,time limit
rev,lessons,7,8,67,lessons
rev,peer-revision,7,9,68,peer-revision
comm,problem,8,1,69,problem
comm,style,8,2,70,style
comm,comm,8,3,71,comm
comm,difference,8,4,72,difference
comm,norms,8,5,73,norms
comm,library,8,6,74,library
comm,referencesystem,8,7,75,reference system
comm,answerword,8,8,76,answerword
comm,zero,8,9,77,zero
comm,"yourcalling,partii",8,10,78,"your calling, part ii"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
