ch_name,h_name,ch_i,h_i,l_i,i,word,fn,x,,,
ed,ED,5,0,0,0,# education,,,,,
ed,the classroom,5,1,0,5.1.0,the classroom,,,,,
ed,theclassroom,5,1,1,5.1.1,"a classroom is a special case of market and work; the direct and shared exchange of mental work, for the purpose of improving individual pris.",def,,,,
ed,theclassroom,5,1,2,5.1.2,no one chose to be born. everyone begins life with their own unnamed and unanswered problems.,def,,,,
ed,theclassroom,5,1,3,5.1.3,books are an author's answers; they can only tell a student what the answer is not (quite).,def,,,,
ed,theclassroom,5,1,4,5.1.4,"instead of teaching how to read between the lines, let the student define the problem through their reality and life goals.",plan,,,,
ed,theclassroom,5,1,5,5.1.5,let them write the plan and teach them only what is needed to succeed.,def,is,,,
ed,theclassroom,5,1,6,5.1.6,"imagine a perfect course exists, designed to teach you to fulfill your specific ambitions.",example,imagine,,,
ed,theclassroom,5,1,7,5.1.7,"every aspect of what you need to know, that is known and communicable, is the only thing written.",def,is,,,
ed,theclassroom,5,1,8,5.1.8,"everything that cannot be known but must be discovered or practiced, is laid out as a set of instructions, described in the words that maximize the learning opportunity, and your progress.",def,,,,
ed,theclassroom,5,1,9,5.1.9,"rather than a course in a classroom, the perfect class is a manual to reference as you live your life, or at least until you've internalized its contents:",plan,,,,
ed,theclassroom,5,1,10,5.1.10,"when to take a break to strategize your decisions, lessons on what opportunities to watch for and resist, and so on.",def,,,,
ed,theclassroom,5,1,11,5.1.11,"any social role you wish to take on, artist, engineer, therapist, insurance salesperson, reliable partner, is customized intimately, curated perfectly for what you need.",def,,,,
ed,theclassroom,5,1,12,5.1.12,any rltp or interpersonal skill that is realistically possible for you is preceded with the guidance and education that prepares you emotionally to choose the right experiences that set you up to be most likely to find and make the most of opportunities to share yourself with another.,def,is,,,
ed,prompt,5,2,0,5.2.0,prompt,,,,,
ed,prompt,5,2,13,5.2.13,is there a better version of you?,plan,,,,
ed,prompt,5,2,14,5.2.14,are you capable of moving toward it?,plan,,,,
ed,prompt,5,2,15,5.2.15,are you ready?,plan,,,,
ed,prompt,5,2,16,5.2.16,"if your answers are yes, then you are a student. to live a better life, you will commit to change your actions.",def,,,,
ed,prompt,5,2,17,5.2.17,"first, you will learn what changes are needed.",def,,,,
ed,admissions,5,3,0,5.3.0,admissions,,,,,
ed,admissions,5,3,18,5.3.18,this is a boot camp whose purpose is,def,,,,
ed,admissions,5,3,18.1,5.3.18.1,"to train adults to think harder, clearer and more effectively.",plan,game,,,
ed,admissions,5,3,18.2,5.3.18.2,to produce intelligent solutions for personal and social puzzles.,plan,game,,,
ed,admissions,5,3,18.3,5.3.18.3,to have a higher cognitive discipline.,plan,,,,
ed,admissions,5,3,18.4,5.3.18.4,"to instill shared cake about reason, thinking and discourse.",plan,,,,
ed,admissions,5,3,18.5,5.3.18.5,to empower.,plan,,,,
ed,admissions,5,3,19,5.3.19,"it is a training program designed to break down bad habits of thought, and build good ones while immersed here, a culture of rational thinking isolated from the outside world.",def,,,,
ed,challenge,5,4,0,5.4.0,challenge,,,,,
ed,challenge,5,4,20,5.4.20,"here you will relentlessly confront your ideas about the world, with instructors drilling intellectual skills (writing essays, arguing for ideas, and developing proposals for action).",plan,,,,
ed,challenge,5,4,21,5.4.21,"you will be trained to move toward your goals with focus, even in the face of perceptual, physical, or emotional distractions.",plan,,,,
ed,challenge,5,4,22,5.4.22,"over time, students could expect to cultivate a sharper focus on cognitive objectives, resilience to distractions and challenges.",example,could,,,
ed,challenge,5,4,23,5.4.23,"if you graduate, it will be with the ability to identify, develop, and communicate ideal critical, rational arguments, positions or plans (orally or written) given the available knowledge, finite time, and resources at hand (reference material, teamwork).",plan,,,,
ed,challenge,5,4,24,5.4.24,"you will also learn a code of behavior for being a community leader,",plan,,,,
ed,challenge,5,4,25,5.4.25,collaborating or competing with an irrational world.,plan,,,,
ed,challenge,5,4,26,5.4.26,the central requirement for applicants will be a commitment to better understand the self and world.,plan,,,,
ed,student,5,5,0,5.5.0,student,,,,,
ed,student,5,5,27,5.5.27,students are ppl with ideas from experience toward selfish goals.,def,,,,
ed,student,5,5,28,5.5.28,lessons depend on students' prior knowledge.,plan,,,,
ed,student,5,5,29,5.5.29,a student,def,role,,,
ed,student,5,5,29.1,5.5.29.1,has a goal that can be better named and planned.,def,can could,,,
ed,student,5,5,29.2,5.5.29.2,requires time away from betting.,def,role,,,
ed,student,5,5,29.3,5.5.29.3,admits not knowing but capable.,def,role,,,
ed,student,5,5,30,5.5.30,"students learn to represent their knowledge in words; to prefer better, alternative words. a student sees the impersonal as more reliable both for selfish goals and social ones.",def,role,,,
ed,student,5,5,31,5.5.31,"a bad student studies to avoid action, or for its own sake.",def,role,,,
ed,student,5,5,32,5.5.32,a student writes ideas and goals to their instructor.,def,role,,,
ed,student,5,5,33,5.5.33,your goal is clear. you want:,def,is,,,
ed,student,5,5,33.1,5.5.33.1,the strength needed to take the right steps and make a habit of,def,role,,,
ed,student,5,5,33.2,5.5.33.2,"keen eyes to estimate the destination and correct course, and",def,role,,,
ed,student,5,5,33.3,5.5.33.3,a focused mind to steady the foot.,def,role,,,
ed,consent,5,6,0,5.6.0,consent,,,,,
ed,consent,5,6,34,5.6.34,this is an in-person immersive experience.,def,,,,
ed,consent,5,6,35,5.6.35,"you only really learn what you need to know to be who you really want. you won't learn unless you cannot escape needing it; in a dedicated environment that fosters acquisition, minimizes interference.",plan,,,,
ed,consent,5,6,36,5.6.36,"whether you're here for the 7- or 30-day experience, you will work hard every minute.",plan,,,,
ed,consent,5,6,37,5.6.37,"for every minute of lesson on my time, students are to provide two minutes of writing, either toward others' learning or in direct application toward their goal.",def,,,,
ed,course,5,7,0,5.7.0,course,,,,,
ed,course,5,7,38,5.7.38,dedicate to identity growth. be:,plan,,,,
ed,course,5,7,38.1,5.7.38.1,"quiet, except when tasks require verbal response.",plan,,,,
ed,course,5,7,38.2,5.7.38.2,receptive to work and feedback provided by the instructor.,plan,,,,
ed,course,5,7,38.3,5.7.38.3,"committed to producing genuinely inspired ideas, working",plan,,,,
ed,course,5,7,38.4,5.7.38.4,"respectful that all are equal in voice, and aim to describe",def,,,,
ed,course,5,7,38.5,5.7.38.5,receptive and responsive to prompts and observations (from peers,plan,,,,
ed,course,5,7,38.6,5.7.38.6,"motivated to describe solutions that benefit others, when",plan,,,,
ed,course,5,7,39,5.7.39,learn:,plan,,,,
ed,course,5,7,39.1,5.7.39.1,precisely and only what is needed to trust a clear picture of,def,is,,,
ed,course,5,7,39.2,5.7.39.2,"first, how to make a plan, a map of who you are, and who you",def,,,,
ed,course,5,7,39.3,5.7.39.3,"repeat part one of this book, until your plan is good enough to",def,is,,,
ed,course,5,7,40,5.7.40,"this will be the beginning of change, and the first test of your commitment.",plan,,,,
ed,course,5,7,41,5.7.41,your performance is evaluated simply: whether or not you,def,is,,,
ed,course,5,7,42,5.7.42,"end up eating, sleeping, thinking, talking, and acting differently.",plan,,,,
ed,think,5,8,0,5.8.0,think,,,,,
ed,think,5,8,43,5.8.43,"think, student.",plan,,,,
ed,think,5,8,44,5.8.44,"do not take notes, simply pay attention.",plan,,,,
ed,think,5,8,45,5.8.45,everything i say is meant plainly.,def,is,,,
ed,think,5,8,46,5.8.46,"if you get confused, forget it, and pay attention to right now.",plan,,,,
ed,think,5,8,47,5.8.47,our goal here is thinking. thinking happens in your heads.,def,is,,,
ed,think,5,8,48,5.8.48,right now your job is to think about the truth you see in what i say.,def,is,,,
ed,think,5,8,49,5.8.49,a student has two roles to think in: reader and writer.,plan,,,,
ed,read,5,9,0,5.9.0,read,,,,,
ed,read,5,9,50,5.9.50,"read, student.",plan,,,,
ed,read,5,9,51,5.9.51,a reader is a listener and observer.,def,,,,
ed,read,5,9,52,5.9.52,"reading is the same as listening to an instructor,",def,is,,,
ed,read,5,9,53,5.9.53,"except that the speaking pace doesn't determine how fast you have to think, or remind you to",def,,,,
ed,read,5,9,54,5.9.54,pay attention!,plan,,,,
ed,read,5,9,54.1,5.9.54.1,"your attention cannot be trusted on its own,",plan,,,,
ed,read,5,9,54.2,5.9.54.2,so lose distractions,plan,,,,
ed,read,5,9,54.3,5.9.54.3,like your smart phone.,plan,,,,
ed,read,5,9,54.4,5.9.54.4,"you will befriend the simplest scientific instrument, a clock.",plan,,,,
ed,read,5,9,54.5,5.9.54.5,the clock is a cue to think.,def,,,,
ed,read,5,9,54.6,5.9.54.6,"when it goes off, get back on task.",plan,,,,
ed,read,5,9,54.7,5.9.54.7,the clock will babysit your unreliable attention.,plan,,,,
ed,truth,5,10,0,5.10.0,truth,,,,,
ed,truth,5,10,55,5.10.55,your goal in reading is to isolate the truth from the lie.,def,is,,,
ed,truth,5,10,55.1,5.10.55.1,try reading this sentence:,plan,,,,
ed,truth,5,10,55.2,5.10.55.2,"""everyone is best off running weekly until they die.""",def,is,,,
ed,truth,5,10,55.3,5.10.55.3,"you're thinking, ""this can't be true for everyone, so it's a",example,,,,
ed,truth,5,10,55.4,5.10.55.4,not so fast.,example,,,,
ed,truth,5,10,55.5,5.10.55.5,"there are many components to this idea, and likely many that you",def,,,,
ed,truth,5,10,55.6,5.10.55.6,often a lie becomes true just by changing the pronouns in the,plan,,,,
ed,truth,5,10,55.7,5.10.55.7,"consider this revision: ""i am best off running weekly until i",example,,,,
ed,truth,5,10,55.8,5.10.55.8,perhaps now the words are more truthful to you.,def,,,,
ed,truth,5,10,56,5.10.56,doing this makes a clear relationship between your belief and the author's.,plan,,,,
ed,truth,5,10,57,5.10.57,becoming smart is the discipline of understanding how you relate to others.,def,is,,,
ed,truth,5,10,58,5.10.58,"when reading, dismiss only what you fully believe is an intentional lie.",plan,,,,
ed,truth,5,10,59,5.10.59,"more generally, read to assess your bet on the words reflecting truth.",plan,,,,
ed,truth,5,10,60,5.10.60,"whether to a single word, a line, chapter, or book.",plan,,,,
ed,truth,5,10,61,5.10.61,"assign weights (0 to 9) to what you read, to complete this prompt:",plan,,,,
ed,truth,5,10,62,5.10.62,i bet this is true for:,plan,is,,,
ed,truth,5,10,62.1,5.10.62.1,0 = not even the author.,plan,,,,
ed,truth,5,10,62.2,5.10.62.2,1 = only the author.,plan,,,,
ed,truth,5,10,62.3,5.10.62.3,"2 = the author, me, and a few others.",plan,,,,
ed,truth,5,10,62.4,5.10.62.4,3 = us and 30% of everyone else.,plan,,,,
ed,truth,5,10,62.5,5.10.62.5,9 = us and about 90% of everyone else.,plan,,,,
ed,truth,5,10,63,5.10.63,"for every assertion and assumption you read, begin assuming it is a ""9"", working backwards according to evidence you hold.",plan,,,,
ed,lesson,5,11,0,5.11.0,lesson,,,,,
ed,lesson,5,11,64,5.11.64,"the following mini lesson illustrates the risk at hand--involuntary comprehension, and the benefit at stake from deliberate reading.",def,,,,
ed,lesson,5,11,65,5.11.65,"consider the following quote, ""change your thoughts to change your life.""",plan,example,,,
ed,lesson,5,11,66,5.11.66,comprehension is involuntary.,def,is,,,
ed,lesson,5,11,66.1,5.11.66.1,you cannot help but recognize meaning when you read.,plan,,,,
ed,lesson,5,11,66.2,5.11.66.2,this means that you likely thought the quote was largely,plan,,,,
ed,lesson,5,11,67,5.11.67,"reading as proposed here, is strongly voluntary.",def,is,,,
ed,lesson,5,11,68,5.11.68,"for example, reread the quote, this time assuming it is reasonable, serious, and valuable.",example,plan,,,
ed,lesson,5,11,69,5.11.69,"the statement is the core assumption to this book, and any psychological theory.",def,is,,,
ed,lesson,5,11,70,5.11.70,"for example, freud's talk therapy was, in his time, the radical idea that words could fix ppl.",example,,,,
ed,lesson,5,11,71,5.11.71,"therefore, do not waste the opportunity to consider a truth that could change your life by failing to entertain a simple assumption.",plan,,,,
