"id.line","h1","h2","verse","word"
1,"0-Intro",NA,NA,"# introduction {.unnumbered}"
2,"0-Intro",NA,NA,"dear me,"
3,"0-Intro","dear ",NA,"dear"
4,"0-Intro","dear ",1,"dear, read this book because you're ready to."
5,"0-Intro","dear ",2,"you are going to die someday. this book is for you if there is something in the meantime worth maximizing."
6,"0-Intro","dear ",3,"please engage your life. this book is meant to help you understand and take action, starting right now."
7,"0-Intro","test",3,"test"
8,"0-Intro","test",4,"please get a pencil and note the date and time, right now: ____________."
9,"0-Intro","test",5,"the words in this book are meaningful only when you apply them to your life."
10,"0-Intro","test",6,"if you wrote the date and time as requested in step 4, you have proven enough to yourself that you are open to trying new ideas. you are prepared to grow and continue reading."
11,"0-Intro","test",7,"if you left the line blank, you might tell yourself you are open to new ideas. you will be right when you complete the task."
12,"0-Intro","test",8,"either write the time above or stop reading, and take a better action to improve your life, right now."
13,"0-Intro","game",8,"game"
14,"0-Intro","game",9,"from now on, every word you (or i) say is a plan for action."
15,"0-Intro","game",10,"that plan is meaningless until you take that action, whether good or bad."
16,"0-Intro","game",11,"therefore, spend less time worrying about why this word or that plan."
17,"0-Intro","game",12,"spend more time deciding which will be the next moves in your game of life."
18,"0-Intro","game",13,"sincerely, another"
19,"0-Intro","camp  ",13,"camp"
20,"0-Intro","camp  ",13,"this book presents plain and obvious facts of life as the antidote to modern complexities of life."
21,"0-Intro","camp  ",14,"in  most cases, the relevance can be seen more clearly if you [simulate][words] the experience being described, or explicitly consider it in your life (see [role of reading][read]). let's practice. for example, consider going on a camping trip."
22,"0-Intro","camp  ",14.1,"look at the clock and determine when you should expect to arrive."
23,"0-Intro","camp  ",14.2,"whatever that time, when you arrive, you will likely be over- prepared, under-prepared, or 1-3 hours late."
24,"0-Intro","camp  ",14.3,"or you might be an experienced camper."
25,"0-Intro","camp  ",15,"either way, this is your only shot at a lifelong camping trip for yourself on earth."
26,"0-Intro","camp  ",16,"my guess is you are very likely late to your own life."
27,"0-Intro","camp  ",17,"the games we (ppl, scientists, etc.) play to explain away this fact, end with this book."
28,"0-Intro","pitch",17,"pitch"
29,"0-Intro","pitch",18,"to understand this book will require you to find and repair the disconnect between your mind's image of time, and the one you are physically bound to."
30,"0-Intro","pitch",19,"if you fail, you will die in two worlds, the world you imagine you could have"
31,"0-Intro","pitch",19,"lived, and the one you did."
32,"0-Intro","pitch",20,"you, however, would like to ace your own life."
33,"0-Intro","pitch",21,"part one of this book (the garden) gives you all the general answers, and the basic tools for finding the answers particular to you."
34,"0-Intro","pitch",22,"part two teaches you how to (re)build your tools."
35,"0-Intro","eat",22,"eat"
36,"0-Intro","eat",23,"the one thing up to you that this book will not do is draw the line between need and want."
37,"0-Intro","eat",22,"in this book, food refers to needs and cake refers to wants."
38,"0-Intro","eat",23,"you must practice discerning which is which for you, until it is second-nature."
39,"0-Intro","eat",24,"then, all decisions can be made as follows:"
40,"0-Intro","eat",24.1,"if hungry, eat food."
41,"0-Intro","eat",24.2,"if full, prepare and pack food."
42,"0-Intro","eat",24.3,"if time, eat or prepare cake."
43,"0-Intro","eat",25,"beware of thinking cake is food."
44,"0-Intro","homeless  ",25,"homeless"
45,"0-Intro","homeless  ",26,"do, don't think. likely at this point you have slipped into thinking this is a book discussing a philosophy, but it is not."
46,"0-Intro","homeless  ",27,"food vs cake is not understood and solved as a mental exercise in your living room, but by experiencing and paying attention."
47,"0-Intro","homeless  ",28,"what's more, if you don't have a living room, cake can be painfully obvious. be homeless."
48,"0-Intro","food",28,"food"
49,"0-Intro","food",29,"the odds are you aren't homeless and will avoid becoming so."
50,"0-Intro","food",30,"as with any hypothetical, practice finding the nearest analogous, personally meaningful experience:"
51,"0-Intro","food",30.1,"you couldn't find your car in the middle of winter."
52,"0-Intro","food",30.2,"you went camping without waterproof gear and it rained."
53,"0-Intro","food",30.3,"for weeks your shower only produced ice cold water."
54,"0-Intro","food",30.4,"you were isolated in your house for most of two years during a global pandemic."
55,"0-Intro","food",31,"whatever the circumstance, your habit protests for a change in plans."
56,"0-Intro","food",32,"however small or profound the suffering or its threat:"
57,"0-Intro","food",33,"there is initially terror, frustration and suffering."
58,"0-Intro","food",34,"enduring, suffering will change."
59,"0-Intro","food",35,"you will need far less food than you thought, giving more time and quality cake you really desire."
60,"0-Intro","plan",35,"plan"
61,"0-Intro","plan",36,"in the first half of this book is a conceptual metaphor described as a garden."
62,"0-Intro","plan",37,"it is a mental model of reality, designed to bring clarity."
63,"0-Intro","plan",38,"your garden is your goals put on key ideas of this book."
64,"0-Intro","plan",39,"you need the garden to combat the idealistic side of your mind, inclined to ignore time and your self, which sets you up for failure and suffering."
65,"0-Intro","plan",40,"the second half of these chapters elaborates explicitly on the key ideas."
66,"0-Intro","lessons",40,"lessons"
67,"0-Intro","lessons",41,"at the end of the book are a series of [lessons][zero or one] for identifying what matters, what's wrong, and what's next in your life."
68,"0-Intro","lessons",42,"they are designed to be useful at any time, and especially repeatedly."
69,"0-Intro","lessons",43,"don't wait to finish the book to try one out, because they are pivotal to skilled reflection."
70,"0-Intro","lessons",44,"however, don't do too many of them before at least reading the relevant section that explains the format of [skilled reflection][skilled reflection]."
71,"0-Intro","definitions  ",44,"definitions"
72,"0-Intro","definitions  ",45,"words in all capital letters are ideas that have specific definitions that differ"
73,"0-Intro","definitions  ",45,"slightly from conventional use."
74,"0-Intro","definitions  ",46,"for example, ""work"" is an idea referring to ""careers"", but not 'yard work'."
75,"0-Intro","definitions  ",47,"do not overlook the nuances for these terms, they are the result of careful decisions about the food and cake of the ideas."
76,"0-Intro","definitions  ",48,"you can find a list of the key ideas in the [index of definitions][index of definitions]."
77,"0-Intro","definitions  ",49,"<- use the enumeration of ideas to cross-reference."
78,"0-Intro","definitions  ",50,"the item immediately above is ""c1.49"". ""c1"" referring to the chapter ""introduction"", and ""49"" to the numbered idea."
79,"0-Intro","definitions  ",51,"this system will be taken advantage of in future revisions."
80,"0-Intro","definitions  ",52,"each chapter deals with a distinct perspective or dimension of life and the goals related to it. what is said is what can be simplified for generalizable guidance."
81,"0-Intro","definitions  ",53,"like food vs cake, the habits relevant to your goals can be closer to food, or excessive like cake."
82,"0-Intro","definitions  ",54,"in the context of definitions, they will be referred to instead, as ""good"" and ""bad"" (for example, [c9.60][pris differ])."
83,"1-self",NA,NA,"# the garden {-}"
84,"1-self",NA,NA,"# self"
85,"1-self","garden",NA,"garden"
86,"1-self","garden",1,"imagine your life takes place in a garden."
87,"1-self","garden",2,"visualizing your life as a garden allows you to ground actions and plans."
88,"1-self","garden",3,"the mind analyzes well with visual space."
89,"1-self","garden",4,"in this garden we'll consider all your biological needs -- eating, sleeping especially -- as literal."
90,"1-self","garden",5,"your plants are goals, and gardening is your plan."
91,"1-self","garden",6,"food and cake exists in the form of fruit from plants."
92,"1-self","garden",7,"whatever it takes to obtain your cake you can consider as an act of gardening."
93,"1-self","garden",8,"every one of your life ambitions, goals, is buried in the ground as seeds."
94,"1-self","garden",9,"finding a life partner, acquiring a car or promotion, or resolving a conflict with"
95,"1-self","garden",9,"your childhood friend are all matters spread across the dirt in need of water,"
96,"1-self","garden",9,"sunlight, and--most important--your time."
97,"1-self","garden",10,"other goals, like your favorite hobbies, or tv shows, take little work and"
98,"1-self","garden",10,"grow almost anywhere."
99,"1-self","garden",11,"whether they are dear to you or weeds, if they take your time, they are plants"
100,"1-self","garden",11,"in your garden."
101,"1-self","garden",12,"except that they start as seeds."
102,"1-self","garden",13,"and what do you do with seeds to make plants? you garden, dear human, you"
103,"1-self","garden",13,"garden."
104,"1-self","garden",14,"all actions toward a plant are according to plan."
105,"1-self","garden",15,"all actions toward your self are to be considered literal in the garden"
106,"1-self","garden",15,"metaphor."
107,"1-self","garden",16,"for example, if you need to eat, or go to the bathroom, you physically go to the"
108,"1-self","garden",16,"place and literally do the deed."
109,"1-self","garden",17,"(there will be no pooping on plants, or a pooping plant in this garden.)"
110,"1-self","garden",18,"thus, in the garden you are still a normal human bound to a normal space and"
111,"1-self","garden",18,"time, capable of:"
112,"1-self","garden",18.1,"acting according to bodily need,"
113,"1-self","garden",18.2,"moving about space, and"
114,"1-self","garden",18.3,"gardening."
115,"1-self","today",18,"today"
116,"1-self","today",19,"today, you are looking out across the entire garden."
117,"1-self","today",20,"what has already been planted? what will you add and how much time will you"
118,"1-self","today",20,"devote to those goals?"
119,"1-self","today",21,"every seed you plant -- even an abstract one like passing a course or making a"
120,"1-self","today",21,"friend-- implies things in and out of your control like work and weather, or"
121,"1-self","today",21,"beyond your awareness, like what your boss loses sleep over."
122,"1-self","today",22,"meditate on the final products of your garden."
123,"1-self","today",23,"is there a more important plant that deserves your time today?"
124,"1-self","today",24,"meditate on the priorities of your work. do two plants grow better when"
125,"1-self","today",24,"together?"
126,"1-self","today",25,"make a quick and accurate assessment, but don't sit here all morning thinking"
127,"1-self","today",25,"about it."
128,"1-self","today",26,"a garden is for working in, to get the food and cake you need."
129,"1-self","today",27,"what do you need to cultivate, today?"
130,"1-self","today",28,"what do you want to cultivate in this life?"
131,"1-self","today",29,"first, you want what your body and mind best respond to. many of these seeds"
132,"1-self","today",29,"will be obvious."
133,"1-self","today",30,"it is up to you how curious you are for what better life is possible."
134,"1-self","today",31,"the day is too short to try everything, and many things are not worth trying."
